id,price_usd
2316505,150032.724615
2320880,232188.804624
2321742,202960.105787
2276796,109276.966969
2330364,96354.2420694
2309731,64863.1713817
2314741,275649.148064
2272025,604778.261019
2265257,155708.609903
2312864,438602.288854
2284231,82992.3024679
2322887,156453.547436
2274219,206909.481906
2284306,48152.8754933
2272022,312791.466258
2242949,29351.5951234
2331386,29351.5951234
2281398,100316.449405
2289737,45896.8925727
2279980,80363.8273627
2281377,39955.9754021
2272919,468882.399424
2283012,246210.257891
2298151,79719.2570234
2284447,175381.955437
2280034,81552.0075556
2281373,455955.715415
2283449,166220.171383
2283451,112707.887431
2283317,100556.795953
2281899,67474.9525965
2283308,68599.1492824
2294427,56256.4157457
2329600,100556.795953
2308034,69114.4100822
2282207,99317.9889642
2329601,100556.795953
2274266,164536.250251
2281375,173199.465438
2279909,77164.8801619
2283021,39955.9754021
2328448,233185.400243
2284049,140406.630926
2285868,73168.4061287
2272371,64840.227778
2308033,69114.4100822
2271002,270758.897754
2281697,67474.9525965
2283634,49108.0113457
2303746,75133.0143404
2282114,193155.980229
2272453,84738.7766969
2283889,48152.8754933
2281376,246210.257891
2302439,150032.724615
2283020,39955.9754021
2239446,44398.5156811
2312120,177202.117346
2330403,44398.5156811
2300029,39516.7667115
2327288,52326.8454895
2300307,54303.802309
2285332,67474.9525965
2285833,76733.309174
2311918,55770.0231551
2308600,62728.7401821
2308636,77077.8794696
2272557,69564.3112
2283066,44013.662344
2313282,146820.175291
2284027,44403.3466189
2281514,43524.5705957
2281453,64610.2033348
2284028,164333.49878
2305912,103288.50295
2282359,247607.902951
2282464,75171.9634916
2282434,52670.7674762
2281638,87684.8463181
2282449,52670.7674762
2283375,106799.990835
2282459,75171.9634916
2282435,75171.9634916
2282460,52670.7674762
2282465,75171.9634916
2281639,87684.8463181
2282430,75171.9634916
2282441,75171.9634916
2283376,80999.3857976
2282448,52670.7674762
2282458,75171.9634916
2282461,52670.7674762
2283377,80999.3857976
2282429,75171.9634916
2282446,75171.9634916
2282462,75171.9634916
2282443,52670.7674762
2282447,75171.9634916
2282442,52670.7674762
2282436,75171.9634916
2282428,75171.9634916
2282463,75171.9634916
2282432,75171.9634916
2282437,75171.9634916
2282440,75171.9634916
2282439,52670.7674762
2281635,87684.8463181
2282453,75171.9634916
