id,price_usd
2316505,36001.4838125
2320880,207634.398555
2321742,216766.411405
2276796,49497.6650964
2330364,73197.8224743
2309731,44589.7366111
2314741,263505.107001
2272025,45637.40499
2265257,87658.0966938
2312864,418216.376781
2284231,73628.8954394
2322887,100255.235095
2274219,167386.656736
2284306,44547.2264938
2272022,179532.463335
2242949,26200.1663964
2331386,26200.1663964
2281398,27684.4578339
2289737,34106.4384958
2279980,76207.3849329
2281377,10289.505848
2272919,446322.354506
2283012,47972.8617707
2298151,76814.6482118
2284447,148782.763261
2280034,32087.9063059
2281373,138448.869205
2283449,74606.2921218
2283451,31881.748213
2283317,104403.829587
2281899,69705.0989258
2283308,55950.3307746
2294427,20644.5087943
2329600,88038.6971347
2308034,28112.3646048
2282207,74542.8166422
2329601,88038.6971347
2274266,110535.87111
2281375,78800.6793172
2279909,68785.4647861
2283021,10289.505848
2328448,132543.063075
2284049,71180.1618159
2285868,66357.8086562
2272371,60174.15785
2308033,28112.3646048
2271002,33278.7168471
2281697,69705.0989258
2283634,40891.9160866
2303746,78082.2724251
2282114,139504.761689
2272453,78126.6638316
2283889,44547.2264938
2281376,47972.8617707
2302439,36001.4838125
2283020,10289.505848
2239446,38226.865241
2312120,65868.3400236
2330403,38226.865241
2300029,41467.9816773
2327288,38893.436009
2300307,53077.4724736
2285332,69705.0989258
2285833,70367.0155292
2311918,57206.0977154
2308600,72203.4011693
2308636,88115.5254663
2272557,66210.1042271
2283066,39931.8862495
2313282,137845.076934
2284027,40380.0238244
2281514,45212.698754
2281453,59666.5487443
2284028,132247.867227
2305912,83019.4044574
2282359,164706.675475
2282464,64698.9209825
2282434,44560.5890781
2281638,78193.4807904
2282449,44560.5890781
2283375,115707.601253
2282459,64698.9209825
2282435,64698.9209825
2282460,44560.5890781
2282465,64698.9209825
2281639,78193.4807904
2282430,64698.9209825
2282441,64698.9209825
2283376,74533.558938
2282448,44560.5890781
2282458,64698.9209825
2282461,44560.5890781
2283377,74533.558938
2282429,64698.9209825
2282446,64698.9209825
2282462,64698.9209825
2282443,44560.5890781
2282447,64698.9209825
2282442,44560.5890781
2282436,64698.9209825
2282428,64698.9209825
2282463,64698.9209825
2282432,64698.9209825
2282437,64698.9209825
2282440,64698.9209825
